time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal,RSI,%K,%D
2019-12-03T00:00:00Z,1.0012,1.0019,0.9997,1.0011,1.00045,0.9992000000000001,0.9988,1.0011999999999999,1.0025,1.000155,1.0025319518312927,0.9977780481687071,1800440.06328701,1661693.8377507247,0.00016188947156428642,0.0003409628231443307,0.00017907335158004426,54.65253911292352,87.17948717948877,85.68376068376107
2019-12-04T00:00:00Z,1.0009,1.002,0.9996,1,1.0005,0.99925,0.9966,1.0003,1.0025,1.000225,1.0024946916109447,0.9979553083890551,2116031.55947052,1658231.3659037077,0.00005751216557874393,0.0002509635585534742,0.00019345139297473026,47.08802894482605,79.08805031446644,84.26866634413905
2019-12-05T00:00:00Z,1.0001,1.0011,0.9991,1.0004,1.0005,0.99925,0.9963,1.000225,1.0025,1.000295,1.0024945226776487,0.9980954773223512,2645004.72989508,1705295.693306078,0.00001283901566141691,0.0002095001625515014,0.00019666114689008448,49.80855064018017,70.44132666774199,78.90295472056579
2019-12-06T00:00:00Z,1.0005,1.0018,0.999,1.0014,1.0005,0.99925,0.997,1.000225,1.0025,1.000395,1.002604502208146,0.9981854977918538,2797398.71938729,1807584.8267672781,0.00004619045002015573,0.00025439920941527916,0.00020820875939512343,55.91160495610401,68.90286512928063,72.81074737049641
2019-12-07T00:00:00Z,1.0014,1.002,1.0009,1.0015,1.0005,0.99925,0.997,1.000225,1.0025,1.000475,1.0027225542281584,0.9982274457718416,428152.72572725,1806145.0181096282,0.00006915667010127337,0.00029465459702171515,0.00022549792692044178,56.48147567425497,75.92592592592705,71.75670590764996
2019-12-08T00:00:00Z,1.0014,1.0027,1.0005,1.0017,1.00085,0.9996,0.9984,1.000225,1.0025,1.0006599999999999,1.002657398310392,0.9986626016896079,594678.57427524,1681357.358566292,0.00009063385620345325,0.00033879024717475836,0.0002481563909713051,57.66020868117735,78.76876876877117,74.53251994132636
2019-12-09T00:00:00Z,1.0017,1.0026,0.999,0.9992,1.00085,0.9996,0.9979,1.000225,1.0025,1.0006799999999998,1.0026093522256063,0.9987506477743933,2229324.51167154,1726207.481423939,-0.00006246239012916576,0.00017007840330984791,0.00023254079343901368,42.253791185647174,53.903903903905395,69.53286619953461
2019-12-10T00:00:00Z,0.9992,1.0003,0.998,0.9996,1.00035,0.9997,0.9991,0.9998750000000001,1.0025,1.0007499999999998,1.0023949924039204,0.9991050075960792,3200531.98613938,1790746.55716228,-0.0001317387341571286,0.00006786737574260293,0.00019960610989973153,44.795381415642716,37.47364385662396,56.71543884310025
2019-12-11T00:00:00Z,0.9996,1.0004,0.9975,0.9991,1.0001,0.9997,1.0004,0.9996,1.00125,1.0007849999999998,1.0022482498112686,0.9993217501887312,3625905.4811556,1870521.5855981433,-0.0002019824450668937,-0.0000528719464338856,0.0001491104986330081,42.289778954763904,23.405729788708907,38.26109251641282
2019-12-12T00:00:00Z,0.9991,1.0006,0.9981,0.9987,1.0001,0.9997,1.0005,0.9996,1.00125,1.0006649999999997,1.0023776295603166,0.9989523704396828,3015381.77406815,1864263.1417502936,-0.0002623080661680966,-0.00017877458407711266,0.00008353348209098396,40.34554217524824,29.296235679215012,30.058536441516036
