,BTC_open,BTC_close,BTC_vol,ETH_open,ETH_close,ETH_vol,XRP_open,XRP_close,XRP_vol
17/05/2019,7860.4,7417.9,29003.82159,263.65,246.29,420093.9682,0.4184,0.39188,76178592.51
18/05/2019,7421.7,7260.1,9319.33097,246.29,233.52,122016.9797,0.39199,0.3718,27204217.5
19/05/2019,7260,8188.3,23458.3083,233.48,260.29,206380.7595,0.37177,0.418,56881873.07
20/05/2019,8185.101029,7990.6,16894.534,260.29,251.54,192380.1289,0.41795,0.39917,40166529.44
21/05/2019,7985.1,7931.711475,7692.901946,252.38,254.39,124302.9803,0.39939,0.39646,23364059.62
22/05/2019,7931.711475,7620,10790.98775,254.32,243.59,155999.884,0.39647,0.37125,38238842.69
23/05/2019,7620,7871.9,10547.60858,243.59,245.43,145109.1213,0.37162,0.38031,19666229.88
24/05/2019,7876.8,7990,10926.32058,245.41,249.58,98279.67312,0.38045,0.38377,28792026.55
25/05/2019,7990.3,8055,4336.179443,249.57,250.9538574,99415.39056,0.38369,0.386,12334441.59
26/05/2019,8055,8729.871366,20158.16632,250.96,268.5,200658.9867,0.38608,0.40924,28433035.27
27/05/2019,8729.8,8806.1,17561.87195,268.5,272.55,196100.0167,0.40938,0.43583,52892963.32
28/05/2019,8806.1,8738.1,11139.51478,272.62,272.12,119648.9022,0.43604,0.449,59332525.96
29/05/2019,8738.1,8678,10304.35681,272.06,270.25,118925.6781,0.449,0.44506,50396864.55
30/05/2019,8679.7,8270,20274.33783,270.25,254.31,446129.0553,0.44531,0.41871,94584628.68
31/05/2019,8269.9,8532.665911,10925.1967,254.4885857,267.13,206816.5574,0.41871,0.43763,26829012.84
1/06/2019,8533.11385,8547,5457.274483,267.14,264.37,107242.4919,0.43754,0.42873,27665445.81
2/06/2019,8546.9,8740.1,6243.252639,264.34,269.4,73360.38593,0.42868,0.44455,26735642.46
3/06/2019,8740,8099.2,18662.44377,269.47,249.38,164033.6284,0.4447,0.41676,55146461.75
4/06/2019,8099.2,7692.9,28124.34054,249.3779797,241.44,207864.0999,0.41629,0.39913,52633956.34
5/06/2019,7692.9,7789.3,10825.49631,241.7,246.26,70110.0891,0.3993,0.40073,19764737.27
6/06/2019,7789.3,7824.7,7553.39309,246.14,250,64709.68386,0.4005,0.42041,29557086.9
7/06/2019,7815.3,7999.4,13456.91583,250.05,249.69,86997.24839,0.42065,0.42053,26448138.99
8/06/2019,7999.9,7924,4772.312469,249.69,244.36,35732.38359,0.42053,0.40848,13077754.87
9/06/2019,7924,7633.3,6830.139424,244.35,231.3,96583.61185,0.40826,0.38525,26571626.31
10/06/2019,7633.3,8018.8,8903.843732,231.26,248.11,111494.1404,0.38524,0.40165,23678502.75
11/06/2019,8018.754499,7905.5,6526.846168,247.85,245.1,78371.47947,0.4016,0.39321,19993650.08
12/06/2019,7905.4,8174,9144.944528,245.17,262.75,180587.859,0.3933,0.40304,19717226.53
13/06/2019,8174.1,8227.4,8889.616696,262.75,254.61,117948.5628,0.40319,0.39957,14419838.43
14/06/2019,8227.4,8689.1,12713.63852,254.6029058,263.69,230771.2933,0.39953,0.40363,20945222.79
15/06/2019,8689.1,8856,9399.947997,263.72,269.12,107726.9718,0.40343,0.41155,23983119.52
16/06/2019,8856,8985.9,20909.87757,269.21,268.63,181765.5406,0.41161,0.42838,51590962.42
17/06/2019,8985.9,9354.3,14168.46532,268.99,274,69045.93274,0.42841,0.44893,50764197.22
18/06/2019,9352.5,9095,10596.49036,274.35,264.89,107157.1054,0.44893,0.42724,61871348.09
19/06/2019,9094.4,9305.9,5765.533749,264.86,269.52,53501.34589,0.42746,0.43638,27157841.23
20/06/2019,9305.9,9557.1,10592.87045,269.49,272.82,64664.17245,0.43627,0.43147,20868845.27
21/06/2019,9557.2,10213.03996,22297.62478,272.93,295.83,238288.8337,0.43195,0.4461,32366100.25
22/06/2019,10223,10744,36677.4631,296.22,311.25,292683.7136,0.44611,0.478,113311377.5
23/06/2019,10744,10913,18589.93965,311.25,308.56,208835.8711,0.47801,0.47086,58784767.14
24/06/2019,10909,11069,14351.73292,308.42,311.7,290630.8765,0.47046,0.47402,46342563.07
25/06/2019,11069.64809,11737,21850.79747,311.7,316.49,125685.0916,0.47425,0.46567,38806481.99
26/06/2019,11737,12876,55127.70689,316.34,332,576174.4813,0.46527,0.45935,71189022.31
27/06/2019,12876,11198.9219,47406.97064,332,294.86,430493.6663,0.45961,0.40589,102515729.9
28/06/2019,11198,12338,31980.82953,294.77,308.87,193694.5408,0.40593,0.42361,26910411.25
29/06/2019,12337,11920,20422.54434,308.87,317.42,130334.1525,0.42341,0.42611,28469748.39
